monopoly n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
expert n.专家；行家；高手
minute n.（时间单位）分；一会儿；刹那；备忘录，（会议）记录；驾车（或步行）一分钟的路程；刻，时
permit v.允许，许可；准许
detective n.刑侦，刑事调查；侦探
poultry n.家禽；禽肉
power n.力, 力量; 能力, 本领; 权力; 影响力; 强国, 大国; 动力; [数]幂; [物]功率
credit n.信用; 赊欠; 信贷; 贷方; 信誉; 赞扬; 荣誉; 学分
force n.力，力量；暴力，武力；影响力，威力，感染力；有影响力的人（或事）；部队；警察队；（有组织进行活动的）一群人，队伍
grant v.同意；承认；正式地（或合法）地给予（权利，权力，财产等）
medieval adj.中世纪的，中古（时代）的
restraint n.控制，限制；（尤指艺术表达中的）低调处理，克制；约束措施，约束条件
tolerant adj.忍受的；容忍的，宽容的，宽恕的；能耐的，耐（受）性的
theme n.题目，主题；（文艺作品的）主题（思想）
chief adj.（官位，职权）首席的，主任的；主要的，首要的
murmur n.低声说出的话，轻柔的谈话声；私下抱怨，嘀咕
margin n.边，边沿，边缘；页面的空白边；（超出的）数量；（可能性，成功的）下限；非主体部分；利润
stable adj.稳定的；持久的；稳固的； 稳重的
migrate v.移动，迁移；（动物，尤指鸟）迁徙，移栖；（鱼）洄游
recreation n.消遣，娱乐
press v.按；揿；压，榨，挤；竭力劝说；敦促，催促；向…强要；竭力要求；坚持；强调；压平；熨平
beyond prep.在…的那边，远于；迟于；越出
mark vt.纪念；评分； 注意； 作记号于，标记；（重要时机，阶段，发展）标志
hear vt.听见；听到；听说；知道；注意听，聆听；重视
race n.（具有相同文化、历史和语言等特征的）种族，群体；族群；人种，种族；民族；竞赛，竞争；赛跑；种族归属；种族气质，特征
vice n.罪恶；（性格或行为）弱点；坏习惯
extreme adj.极大的；极度的；不寻常的；例外的；严重的；（人，观点）极端的，偏激的（尤指在政治方面）
safe adj.安全的，平安的；无害的；不会引起损害的；无危险的，保险的；有根据的，有把握的，不会出错的
barely adv.刚刚，才；仅仅，只不过，几乎不
save vt.抢救（人）；救助，搭救，挽救；节省（钱、时间或其他资源）；积攒；储蓄（钱）
release v.公布，发布（消息）；公开发行（电影、录音制品等）；释放，解放；使（某物）扩散，释放，释出，逸出；出院
code n.密码，代码；法典；法规；章程；编号；标记；行为准则；行为规范；【计算机】程序指令
poke v.戳，刺，捅；伸出，探出
basis n.根据；基础，基准，基点，方式；原则
refer v.（词，短语，标志）指，表示；查阅，参考；提到，谈到
design n.设计方案，设计图，设计；构思，制订；图样
religion n.宗教；宗教信仰
superior adj.较高的；上级的；高质的；占优势的；高标准的；有优越感的，高傲的
cautious adj.小心的，谨慎的
goal n.（人进取或努力的）目标；目的；期望的结果；进球（尤指得分）
federal adj.联邦（制）的；联邦政府的
heel n.脚后跟，踵，后跟
mean vt.指示，表示；意味；意欲，打算；（词的）意思是；具有（特定的）重要性；引起，造成；应该做，被要求做
unique adj.独一无二的，独特的；稀罕的
sound n.声音；响声，声响；（电影、录像或广播中的）音响效果
breed n.品种；类型
resident n.常住居民，定居者；〈北美〉（高级专科）住院医师；〈美〉寄宿制学校学生；无迁徙习性的动物
whereas conj.而，却；反之
